model,house_idx,budget,price_before,price_after,spent,profit,roi,n_changes,top_changes
Linear,1881,150000,220939.16432283103,824122.8750967645,149602.0,453581.71077393345,3.0319227735854697,31,"First_Flr_SF:100.00, Second_Flr_SF:0.00, Year_Built:0.00, Exter_Qual:2.00, Total_Bsmt_SF:0.00"
XGBoost,2196,150000,261431.96875,479928.7092397354,88651.0,129845.74048973538,1.4646844422480896,31,"First_Flr_SF:0.00, Second_Flr_SF:291.00, Year_Built:0.00, Exter_Qual:1.00, Total_Bsmt_SF:0.00"
Linear,2196,150000,267772.7632311279,702005.3542434208,150000.0,284232.5910122929,1.8948839400819526,31,"First_Flr_SF:0.00, Second_Flr_SF:0.00, Year_Built:0.00, Exter_Qual:2.00, Total_Bsmt_SF:0.00"
XGBoost,511,150000,360070.46875,835361.3647376588,140895.0,334395.89598765876,2.37336950202391,31,"First_Flr_SF:302.00, Second_Flr_SF:0.00, Year_Built:0.00, Exter_Qual:1.00, Total_Bsmt_SF:111.00"
Linear,511,150000,342931.5566840515,1010882.3000733132,150000.0,517950.74338926165,3.453004955928411,31,"First_Flr_SF:0.00, Second_Flr_SF:0.00, Year_Built:0.00, Exter_Qual:1.00, Total_Bsmt_SF:0.00"
XGBoost,1550,150000,181636.265625,465728.3503495592,134748.0,149344.08472455922,1.108321345953626,31,"First_Flr_SF:170.00, Second_Flr_SF:0.00, Year_Built:0.00, Exter_Qual:2.00, Total_Bsmt_SF:0.00"
Linear,1550,150000,201015.34508823417,640825.0585117503,149999.99999999988,289809.71342351625,1.9320647561567765,31,"First_Flr_SF:483.88, Second_Flr_SF:0.00, Year_Built:0.00, Exter_Qual:3.00, Total_Bsmt_SF:0.00"
XGBoost,322,150000,237352.078125,545322.2754202385,149944.0,158026.1972952385,1.0539014385052987,31,"First_Flr_SF:586.00, Second_Flr_SF:0.00, Year_Built:0.00, Exter_Qual:1.00, Total_Bsmt_SF:0.00"
Linear,322,150000,245452.57097766805,947962.3103506688,149999.99999999994,552509.7393730008,3.6833982624866737,31,"First_Flr_SF:100.00, Second_Flr_SF:0.00, Year_Built:0.00, Exter_Qual:2.00, Total_Bsmt_SF:0.00"
XGBoost,2261,150000,366130.59375,769972.770804196,149800.0,254042.177054196,1.6958756812696663,31,"First_Flr_SF:250.00, Second_Flr_SF:0.00, Year_Built:0.00, Exter_Qual:1.00, Total_Bsmt_SF:374.00"
Linear,2261,150000,359088.8900749464,1039632.4069575439,149999.99999999988,530543.5168825976,3.53695677921732,31,"First_Flr_SF:904.04, Second_Flr_SF:0.00, Year_Built:0.00, Exter_Qual:1.00, Total_Bsmt_SF:0.00"
XGBoost,1200,150000,297541.8125,553240.9592931471,89998.0,165701.14679314708,1.8411647680298127,31,"First_Flr_SF:0.00, Second_Flr_SF:0.00, Year_Built:0.00, Exter_Qual:0.00, Total_Bsmt_SF:100.00"
Linear,1200,150000,301580.2694873936,1039309.8709371958,150000.0,587729.6014498023,3.918197342998682,31,"First_Flr_SF:624.19, Second_Flr_SF:0.00, Year_Built:0.00, Exter_Qual:1.00, Total_Bsmt_SF:0.00"
