budget,house_idx,baseline_price,optimized_price,spent,profit,roi,price_increase_pct
50000,1904,182467.390625,292417.609225528,42892.0,67058.21860052802,1.5634201855947036,60.257462017689235
50000,285,167444.28125,320469.6985501697,48883.0,104142.4173001697,2.130442429887071,91.38885852524133
50000,130,117688.390625,217796.12213537673,20712.0,79395.73151037673,3.833320370334914,85.06168788505067
50000,2186,158472.078125,263847.82271148486,49997.0,55378.744586484856,1.1076413502107099,66.4948335588597
50000,743,163976.484375,266523.27764873294,35025.0,67521.79327373294,1.9278170813342739,62.53749960830805
50000,741,209487.921875,344327.14836586296,47962.0,86877.22649086296,1.8113762247375622,64.36611012415341
50000,697,196742.34375,342430.5557474358,49002.0,96686.21199743578,1.9731074649490996,74.05025741818011
50000,2141,201345.359375,346448.11334046006,24674.0,120428.75396546006,4.880795735002839,72.06659960571045
50000,261,201654.5625,335266.4813255695,41227.0,92384.9188255695,2.2408838582863053,66.25782088395323
50000,2175,232779.671875,383143.9510800388,49988.0,100376.2792050388,2.0080075059021922,64.59510746530422
50000,2358,232721.515625,393112.9252741982,43972.0,116419.40964919818,2.6475804977985575,68.91988874275285
50000,1807,225973.9375,376494.8567962539,48273.0,102247.91929625388,2.1181181881435562,66.60985818165595
50000,260,232097.15625,345942.7017853438,11452.0,102393.54553534382,8.941105967110008,49.05081448422263
50000,1740,284585.125,478381.43816379487,49795.0,144001.31316379487,2.8918829835082813,68.09783651334372
50000,1213,249628.34375,439213.91608160135,44908.0,144677.57233160135,3.221643634354711,75.94713384048615
50000,57,254157.171875,415911.9665093134,23770.0,137984.79463431338,5.804997670774648,63.64360818189616
50000,56,301340.15625,510155.1114360156,49843.0,158971.95518601558,3.189453989246546,69.29542938604472
50000,317,254713.328125,451049.7584286073,45894.0,150442.4303036073,3.2780413627839655,77.08133365021858
50000,805,349940.40625,588597.2286688972,47385.0,191271.82241889718,4.036547903743741,68.19927569278724
50000,830,376735.78125,665214.5344310313,49575.0,238903.75318103132,4.819036877075771,76.57322918037303
50000,1650,309309.3125,514879.31230308267,49447.0,156122.99980308267,3.157380625782811,66.4609798332802
50000,1868,312028.25,563381.5240584976,46290.0,205063.27405849763,4.429969195474134,80.55465300289241
50000,58,330657.15625,536781.6712544445,49937.0,156187.51500444452,3.127691190989537,62.33783576382056
50000,1763,746987.1875,943793.8982223881,7881.0,188925.71072238812,23.97230183002006,26.34673178010675
50000,505,374357.6875,581469.165645606,42764.0,164347.478145606,3.8431268858293426,55.32448913463437
50000,2274,500184.84375,888014.6016133324,49246.0,338583.7578633324,6.875355518485408,77.53728700687613
50000,2078,347285.375,651374.0,49752.0,254336.625,5.1120884587554265,87.56159829650183
50000,2258,377233.71875,689531.397016794,47791.0,264506.67826679396,5.5346546058210535,82.78625762872475
100000,1904,182467.390625,314669.624264367,63272.0,68930.23363936698,1.089427134267401,72.45252600288671
100000,285,167444.28125,320468.8795472879,48883.0,104141.59829728788,2.13042567553726,91.38836940559167
100000,130,117688.390625,217796.16189742356,20712.0,79395.77127242356,3.8333222900938373,85.0617216709208
100000,2186,158472.078125,337642.8832350007,89106.0,90064.80511000071,1.0107602755145637,113.06143468925416
100000,743,163976.484375,315319.3129844012,82895.0,68447.82860940119,0.8257172158682814,92.29544662226887
100000,741,209487.921875,410019.4024502309,98380.0,102151.4805752309,1.0383358464650427,95.72460253574269
100000,697,196742.34375,381727.3667607455,85560.0,99425.02301074553,1.162050292318204,94.0240008758895
100000,2141,201345.359375,394947.0314240873,68619.0,124982.6720490873,1.8214003708752284,96.15402741342038
100000,261,201654.5625,398273.9440320856,96332.0,100287.3815320856,1.041059892165486,97.50306618134941
100000,2175,232779.671875,435138.0797907748,89294.0,113064.40791577479,1.2662038649380114,86.93130559288653
100000,2358,232721.515625,456144.76582669665,96867.0,126556.25020169665,1.3064949900554022,96.00455273835261
100000,1807,225973.9375,448996.64359506464,94305.0,128717.70609506464,1.3649086060661115,98.6939947864849
100000,260,232097.15625,345942.76024411526,11452.0,102393.60399411526,8.941111071787919,49.050839671421116
100000,1740,284585.125,572206.377573437,99785.0,187836.25257343706,1.8824097066035683,101.06686095186355
100000,1213,249628.34375,519943.13358621264,99680.0,170634.78983621264,1.7118257407324704,108.28689794414126
100000,57,254157.171875,483584.92533532035,86093.0,143334.75346032035,1.6648827832729765,90.27002927667054
100000,56,301340.15625,578870.2771302877,99848.0,177682.12088028772,1.7795260884573323,92.09861849611613
100000,317,254713.328125,496939.77237732435,86916.0,155310.44425232435,1.7869028056091438,95.09767158059836
100000,805,349940.40625,663998.703061726,97606.0,216452.29681172594,2.217612614098784,89.7462228432576
100000,830,376735.78125,764420.6132100209,99760.0,287924.83196002094,2.886175139936056,102.9062943460513
100000,1650,309309.3125,574357.8478457885,93147.0,171901.53534578846,1.8454865464887593,85.69044792202578
100000,1868,312028.25,669479.8679029664,99916.0,257535.61790296645,2.5775212969190764,114.5574536609959
100000,58,330657.15625,635284.4420220294,98901.0,205726.28577202943,2.0801234140406004,92.12783694955323
100000,1763,746987.1875,943793.8956742516,7881.0,188925.7081742516,23.972301506693515,26.346731438984904
100000,505,374357.6875,673693.7057174913,99217.0,200119.01821749134,2.016983160320221,79.95989616681541
100000,2274,500184.84375,944759.7695095328,83022.0,361552.92575953284,4.354905034322623,88.88212654075105
100000,2078,347285.375,728690.1312610907,98922.0,282482.75626109075,2.855611049726964,109.82459490587266
100000,2258,377233.71875,758341.6736188928,86577.0,294530.9548688928,3.401953808388981,101.02701214825929
