pwl_k,price_before,optimized_price,spent,budget,profit,roi
10,213556.375,473499.2894794758,124254.0,125000,135688.91447947582,1.09202854217551
15,213556.375,472297.5149857431,124254.0,125000,134487.1399857431,1.0823566242192855
20,213556.375,471913.48296067974,124254.0,125000,134103.10796067974,1.0792659227121844
25,213556.375,471742.67350656725,124254.0,125000,133932.29850656725,1.0778912429907066
30,213556.375,471651.7513642932,124254.0,125000,133841.37636429322,1.0771594988032032
40,213556.375,471562.1574873862,124254.0,125000,133751.7824873862,1.0764384445360808
50,213556.375,471521.0636729705,124254.0,125000,133710.68867297051,1.0761077202582654
